a	(ā) 
a'a	(ä'ä)
aa	(ä'ä)
aa	(ä'ä) 
aah	(ä) 
Aba	(ä'bə) 
ab	(āb) 
Ab	(äb, äv, ôv) 
AB	(ā'bē') 
aback	(ə-bāk') 
abacus	(āb'ə-kəs, ə-bāk'əs) 
aba	(ə-bä', ä'bə) 
abaft	(ə-bāft') 
abandon	(ə-bān'dən) 
abase	(ə-bās') 
abash	(ə-bāsh') 
abasia	(ə-bā'zhə) 
abate	(ə-bāt') 
abatement	(ə-bāt'mənt) 
abatis	(āb'ə-tē', -tĭs) 
abaya	(ə-bī'ə) 
Abaya	(ə-bī'ə) 
Abba	(āb'ə, ä'bə) 
abbacy	(āb'ə-sē) 
abbé	(āb'ā', ā-bā') 
abbess	(āb'ĭs) 
abbey	(āb'ē) 
Abbey	(āb'ē) 
abbot	(āb'ət) 
abbreviate	(ə-brē'vē-āt') 
abbreviation	(ə-brē'vē-ā'shən) 
ABC	(ā'bē-sē') 
abcoulomb	(āb-kōō'lŏm', -lōm') 
ABD	(ā'bē-dē') 
abdicate	(āb'dĭ-kāt') 
abdomen	(āb'də-mən) 
abdomen	(āb'də-mən, āb-dō'mən) 
abdominal	(āb-dŏm'ə-nəl) 
abduct	(āb-dŭkt') 
abeam	(ə-bēm') 
abecedarian	(ā'bē-sē-dâr'ē-ən) 
abed	(ə-běd') 
Abel	(ā'bəl) 
Abelard	(āb'ə-lärd') 
abele	(ə-bēl') 
abelia	(ə-bē'lē-ə, ə-bēl'yə) 
Abenaki	(ä'bə-nä'kē, āb'ə-nāk'ē) 
aberrant	(āb'ər-ənt, ā-běr'-) 
aberration	(āb'ə-rā'shən) 
abet	(ə-bět') 
abhor	(āb-hôr') 
abhorrence	(āb-hôr'əns, -hŏr'-) 
Abib	(ä-vēv') 
abide	(ə-bīd') 
abiogenesis	(ā'bī-ō-jěn'ĭ-sĭs) 
abject	(āb'jěkt', āb-jěkt') 
abjure	(āb-jŏŏr') 
Abkhaz	(āb-kāz', äb-käz') 
Abkhazian	(āb-kā'zhən, -zē-ən, -kä'-, äb-) 
ablate	(ā-blāt') 
ablaut	(äb'lout', äp'-) 
ablaze	(ə-blāz') 
able	(ā'bəl) 
abloom	(ə-blōōm') 
Abnaki	(äb-nä'kē, āb-) 
abnegate	(āb'nĭ-gāt') 
abnegation	(āb'nĭ-gā'shən) 
abnormality	(āb'nôr-māl'ĭ-tē) 
abo	(āb'ō)
Abo	(āb'ō)
aboard	(ə-bôrd', ə-bōrd') 
abode	(ə-bōd') 
abohm	(ā-bōm') 
abolish	(ə-bŏl'ĭsh) 
abolition	(āb'ə-lĭsh'ən) 
abolitionism	(āb'ə-lĭsh'ə-nĭz'əm) 
abominate	(ə-bŏm'ə-nāt') 
abomination	(ə-bŏm'ə-nā'shən) 
aboriginal	(āb'ə-rĭj'ə-nəl) 
aborigine	(āb'ə-rĭj'ə-nē) 
abort	(ə-bôrt') 
abortifacient	(ə-bôr'tə-fā'shənt) 
abortionist	(ə-bôr'shə-nĭst) 
abortive	(ə-bôr'tĭv) 
abound	(ə-bound') 
about	(ə-bout') 
above	(ə-bŭv') 
abracadabra	(āb'rə-kə-dāb'rə) 
abrade	(ə-brād') 
abranchiate	(ā-brāng'kē-ĭt, -āt') 
abrash	(ä-bräsh', ə-bräzh') 
abrasive	(ə-brā'sĭv, -zĭv) 
abreact	(āb'rē-ākt') 
abrin	(ā'brĭn) 
abroad	(ə-brôd') 
abrogate	(āb'rə-gāt') 
abrupt	(ə-brŭpt') 
abruption	(ə-brŭp'shən) 
abscisic acid	(āb-sĭz'ĭk) 
abscission	(āb-sĭzh'ən) 
abscond	(āb-skŏnd') 
abseil	(äp'zīl', -sīl', āb'-) 
absent	(āb'sənt) 
absenteeism	(āb'sən-tē'ĭz'əm) 
absolute	(āb'sə-lōōt', āb'sə-lōōt') 
absolution	(āb'sə-lōō'shən) 
absolutism	(āb'sə-lōō'tĭz'əm) 
absolutize	(āb'sə-lōō-tīz') 
absorb	(əb-sôrb', -zôrb') 
absorbefacient	(əb-sôr'bə-fā'shənt, -zôr'-) 
absorbent	(əb-sôr'bənt, -zôr'-) 
absorptance	(əb-sôrp'təns, -zôrp'-) 
absorption	(əb-sôrp'shən) 
absorption	(əb-sôrp'shən, -zôrp'-) 
absquatulate	(āb-skwŏch'ə-lāt') 
abstain	(āb-stān', əb-) 
abstemious	(āb-stē'mē-əs, əb-) 
abstention	(āb-stěn'shən, əb-) 
abstinence	(āb'stə-nəns) 
abstract	(āb-strākt', āb'strākt') 
abstracted	(āb-strāk'tĭd, āb'strāk'-) 
abstraction	(āb-strāk'shən, əb-) 
abstractionism	(āb-strāk'shə-nĭz'əm) 
abstruse	(āb-strōōs', əb-) 
absurd	(əb-sûrd', -zûrd') 
absurdism	(əb-sûr'dĭz-əm, -zûr'-) 
abundance	(ə-bŭn'dəns) 
abuse	(ə-byōōz') 
abusive	(ə-byōō'sĭv, -zĭv) 
abut	(ə-bŭt') 
abuzz	(ə-bŭz') 
abvolt	(āb'vōlt') 
abysmal	(ə-bĭz'məl) 
abysm	(ə-bĭz'əm) 
abyss	(ə-bĭs') 
Abyssinia	(āb'ĭ-sĭn'ē-ə) 
acacia	(ə-kā'shə) 
academician	(āk'ə-də-mĭsh'ən, ə-kād'ə-) 
academicism	(āk'ə-děm'ĭ-sĭz'əm) 
academism	(ə-kād'ə-mĭz'əm) 
Acadia	(ə-kā'dē-ə) 
acanthocephalan	(ə-kān'thə-sěf'ə-lən) 
acanthopterygian	(āk'ən-thŏp'tə-rĭj'ē-ən) 
acariasis	(āk'ə-rī'ə-sĭs) 
acarid	(āk'ə-rĭd) 
acarology	(āk'ə-rŏl'ə-jē) 
acarophobia	(āk'ə-rə-fō'bē-ə) 
acarus	(āk'ər-əs) 
acatalectic	(ā-kāt'l-ěk'tĭk) 
accede	(āk-sēd') 
accelerando	(ä-chěl'ə-rän'dō) 
accelerant	(āk-sěl'ər-ənt) 
accelerate	(āk-sěl'ə-rāt') 
acceleration	(āk-sěl'ə-rā'shən) 
accelerator	(āk-sěl'ə-rā'tər) 
accelerometer	(āk-sěl'ə-rŏm'ĭ-tər) 
accent	(āk'sěnt') 
accentuate	(āk-sěn'chōō-āt') 
acceptable	(āk-sěp'tə-bəl) 
accept	(āk-sěpt') 
acceptance	(āk-sěp'təns) 
acceptant	(āk-sěp'tənt) 
acceptation	(āk'sěp-tā'shən) 
access	(āk'sěs) 
accessible	(āk-sěs'ə-bəl) 
accession	(āk-sěsh'ən) 
accessorize	(āk-sěs'ə-rīz') 
accessory	(āk-sěs'ə-rē) 
acciaccatura	(ä-chä'kə-tŏŏr'ə) 
accidence	(āk'sĭ-dəns, -děns') 
accidental	(āk'sĭ-děn'tl) 
accipiter	(āk-sĭp'ĭ-tər) 
acclaim	(ə-klām') 
acclamation	(āk'lə-mā'shən) 
acclimate	(ə-klī'mĭt, āk'lə-māt') 
acclimation	(āk'lə-mā'shən) 
acclimatization	(ə-klī'mə-tĭ-zā'shən) 
acclimatize	(ə-klī'mə-tīz') 
acclivity	(ə-klĭv'ĭ-tē) 
accommodate	(ə-kŏm'ə-dāt') 
accommodation	(ə-kŏm'ə-dā'shən) 
