a	(ā) 
a'a	(ä'ä)
aa	(ä'ä)
aa	(ä'ä) 
aah	(ä) 
aardvark	(ärd'värk') 
aardwolf	(ärd'wŏŏlf') 
Aba	(ä'bə) 
ab	(āb) 
Ab	(äb, äv, ôv) 
AB	(ā'bē') 
aback	(ə-bāk') 
abacus	(āb'ə-kəs, ə-bāk'əs) 
aba	(ə-bä', ä'bə) 
abaft	(ə-bāft') 
abalone	(āb'ə-lō'nē, āb'ə-lō'-) 
abampere	(āb-ām'pîr') 
abandon	(ə-bān'dən) 
abase	(ə-bās') 
abash	(ə-bāsh') 
abasia	(ə-bā'zhə) 
abate	(ə-bāt') 
abatement	(ə-bāt'mənt) 
abatis	(āb'ə-tē', -tĭs) 
abattoir	(āb'ə-twär') 
abaya	(ə-bī'ə) 
Abaya	(ə-bī'ə) 
Abba	(āb'ə, ä'bə) 
abbacy	(āb'ə-sē) 
abbé	(āb'ā', ā-bā') 
abbess	(āb'ĭs) 
abbey	(āb'ē) 
Abbey	(āb'ē) 
abbot	(āb'ət) 
abbreviate	(ə-brē'vē-āt') 
abbreviation	(ə-brē'vē-ā'shən) 
ABC	(ā'bē-sē') 
abcoulomb	(āb-kōō'lŏm', -lōm') 
ABD	(ā'bē-dē') 
abdicate	(āb'dĭ-kāt') 
abdomen	(āb'də-mən) 
abdomen	(āb'də-mən, āb-dō'mən) 
abdominal	(āb-dŏm'ə-nəl) 
abducens	(āb-dōō'sənz, -dyōō'-) 
abduct	(āb-dŭkt') 
abductor	(āb-dŭk'tər) 
abeam	(ə-bēm') 
abecedarian	(ā'bē-sē-dâr'ē-ən) 
abed	(ə-běd') 
Abel	(ā'bəl) 
Abelard	(āb'ə-lärd') 
abele	(ə-bēl') 
abelia	(ə-bē'lē-ə, ə-bēl'yə) 
abelmosk	(ā'bəl-mŏsk') 
Abenaki	(ä'bə-nä'kē, āb'ə-nāk'ē) 
Aberdeen	(āb'ər-dēn', āb'ər-dēn') 
aberrant	(āb'ər-ənt, ā-běr'-) 
aberration	(āb'ə-rā'shən) 
abet	(ə-bět') 
abeyance	(ə-bā'əns) 
abfarad	(āb-fār'ād', -əd) 
abhenry	(āb-hěn'rē) 
abhor	(āb-hôr') 
abhorrence	(āb-hôr'əns, -hŏr'-) 
Abib	(ä-vēv') 
abidance	(ə-bīd'ns) 
abide	(ə-bīd') 
abiding	(ə-bī'dĭng) 
Abidjan	(āb'ĭ-jän') 
Abigail	(āb'ĭ-gāl') 
ability	(ə-bĭl'ĭ-tē) 
abiogenesis	(ā'bī-ō-jěn'ĭ-sĭs) 
abiotic	(ā'bī-ŏt'ĭk) 
abject	(āb'jěkt', āb-jěkt') 
abjure	(āb-jŏŏr') 
Abkhaz	(āb-kāz', äb-käz') 
Abkhazian	(āb-kā'zhən, -zē-ən, -kä'-, äb-) 
ablate	(ā-blāt') 
ablation	(ā-blā'shən) 
ablative	(ā-blā'tĭv) 
ablative	(āb'lə-tĭv) 
ablaut	(äb'lout', äp'-) 
ablaze	(ə-blāz') 
able	(ā'bəl) 
ableism	(ā'bə-lĭz'əm) 
abloom	(ə-blōōm') 
ablution	(ə-blōō'shən, ā-blōō'-) 
Abnaki	(äb-nä'kē, āb-) 
abnegate	(āb'nĭ-gāt') 
abnegation	(āb'nĭ-gā'shən) 
abnormal	(āb-nôr'məl) 
abnormality	(āb'nôr-māl'ĭ-tē) 
abo	(āb'ō)
Abo	(āb'ō)
aboard	(ə-bôrd', ə-bōrd') 
abode	(ə-bōd') 
abohm	(ā-bōm') 
abolish	(ə-bŏl'ĭsh) 
abolition	(āb'ə-lĭsh'ən) 
abolitionism	(āb'ə-lĭsh'ə-nĭz'əm) 
abomasum	(āb'ō-mā'səm) 
abominate	(ə-bŏm'ə-nāt') 
abomination	(ə-bŏm'ə-nā'shən) 
aboriginal	(āb'ə-rĭj'ə-nəl) 
aborigine	(āb'ə-rĭj'ə-nē) 
abort	(ə-bôrt') 
abortifacient	(ə-bôr'tə-fā'shənt) 
abortion	(ə-bôr'shən) 
abortionist	(ə-bôr'shə-nĭst) 
abortive	(ə-bôr'tĭv) 
aboulia	(ə-bōō'lē-ə, -byōō'-) 
abound	(ə-bound') 
about	(ə-bout') 
above	(ə-bŭv') 
abracadabra	(āb'rə-kə-dāb'rə) 
abrachia	(ə-brā'kē-ə) 
abradant	(ə-brād'nt) 
abrade	(ə-brād') 
Abraham	(ā'brə-hām') 
abranchiate	(ā-brāng'kē-ĭt, -āt') 
abrash	(ä-bräsh', ə-bräzh') 
abrasion	(ə-brā'zhən) 
abrasive	(ə-brā'sĭv, -zĭv) 
abreact	(āb'rē-ākt') 
abreast	(ə-brěst') 
abridge	(ə-brĭj') 
abrin	(ā'brĭn) 
abroach	(ə-brōch') 
abroad	(ə-brôd') 
abrogate	(āb'rə-gāt') 
abrupt	(ə-brŭpt') 
abruption	(ə-brŭp'shən) 
Abruzzi	(ä-brōōt'sē, ə-brōōt'-) 
abscess	(āb'sěs') 
abscise	(āb-sīz') 
abscisic acid	(āb-sĭz'ĭk) 
abscissa	(āb-sĭs'ə) 
abscission	(āb-sĭzh'ən) 
abscond	(āb-skŏnd') 
abseil	(äp'zīl', -sīl', āb'-) 
absence	(āb'səns) 
absent	(āb'sənt) 
absentee	(āb'sən-tē') 
absenteeism	(āb'sən-tē'ĭz'əm) 
absolute	(āb'sə-lōōt', āb'sə-lōōt') 
absolution	(āb'sə-lōō'shən) 
absolutism	(āb'sə-lōō'tĭz'əm) 
absolutize	(āb'sə-lōō-tīz') 
absolve	(əb-zŏlv', -sŏlv') 
absorb	(əb-sôrb', -zôrb') 
absorbefacient	(əb-sôr'bə-fā'shənt, -zôr'-) 
absorbent	(əb-sôr'bənt, -zôr'-) 
absorptance	(əb-sôrp'təns, -zôrp'-) 
absorption	(əb-sôrp'shən) 
absorption	(əb-sôrp'shən, -zôrp'-) 
absquatulate	(āb-skwŏch'ə-lāt') 
abstain	(āb-stān', əb-) 
abstemious	(āb-stē'mē-əs, əb-) 
abstention	(āb-stěn'shən, əb-) 
abstinence	(āb'stə-nəns) 
abstract	(āb-strākt', āb'strākt') 
abstracted	(āb-strāk'tĭd, āb'strāk'-) 
abstraction	(āb-strāk'shən, əb-) 
abstractionism	(āb-strāk'shə-nĭz'əm) 
abstruse	(āb-strōōs', əb-) 
absurd	(əb-sûrd', -zûrd') 
absurdism	(əb-sûr'dĭz-əm, -zûr'-) 
abundance	(ə-bŭn'dəns) 
abuse	(ə-byōōz') 
abusive	(ə-byōō'sĭv, -zĭv) 
abut	(ə-bŭt') 
abutilon	(ə-byōōt'l-ŏn') 
abutment	(ə-bŭt'mənt) 
abuzz	(ə-bŭz') 
abvolt	(āb'vōlt') 
abysmal	(ə-bĭz'məl) 
abysm	(ə-bĭz'əm) 
abyssal	(ə-bĭs'əl) 
abyss	(ə-bĭs') 
Abyssinia	(āb'ĭ-sĭn'ē-ə) 
acacia	(ə-kā'shə) 
academe	(āk'ə-dēm') 
academia	(āk'ə-dē'mē-ə) 
academic	(āk'ə-děm'ĭk) 
academician	(āk'ə-də-mĭsh'ən, ə-kād'ə-) 
academicism	(āk'ə-děm'ĭ-sĭz'əm) 
academism	(ə-kād'ə-mĭz'əm) 
